shipment_id,status,date,hour,timezone,city_locality,state,lat,lon,pod_url
AE194,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE195,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE196,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE197,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE198,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE199,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE200,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE201,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE202,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE203,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE204,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE205,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE206,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE207,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE208,"ON HOLD",09-24-2022,08:50:58,America/New_York,,,,,
AE209,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE210,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE211,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE212,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE213,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE214,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE215,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE216,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE217,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE218,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE219,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE220,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE221,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE222,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE223,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE224,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE225,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE226,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE227,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE228,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE229,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE230,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE231,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE232,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE233,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE234,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE235,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE236,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE237,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE238,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE239,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE240,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE241,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE242,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE243,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE244,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE245,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE246,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE247,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE248,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE249,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE250,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE251,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE252,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE253,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE254,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE255,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE256,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE257,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE258,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE259,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE260,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE261,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE262,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE263,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE264,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE265,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE266,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE267,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE268,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE269,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE270,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE271,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE272,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE273,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE274,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE275,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE276,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE277,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE278,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE279,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE280,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE281,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE282,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE283,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE284,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE285,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE286,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE287,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE288,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE289,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE290,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE291,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE292,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE293,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE294,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE295,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE296,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE297,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE298,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE299,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE300,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE301,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
